Number of actors with last name starting with 'P': 64

Movies released after 2010 with more than 100,000 votes (120):
- Title: The Martian, Year: 2015, Votes: 506641
- Title: A Million Ways to Die in the West, Year: 2014, Votes: 138651
- Title: Room, Year: 2015, Votes: 182004
- Title: Non-Stop, Year: 2014, Votes: 242556
- Title: The Lego Movie, Year: 2014, Votes: 251297
- Title: 300: Rise of an Empire, Year: 2014, Votes: 229109
- Title: The Hateful Eight, Year: 2015, Votes: 294908
- Title: Captain America: The Winter Soldier, Year: 2014, Votes: 510608
- Title: The Theory of Everything, Year: 2014, Votes: 275057
- Title: Jurassic World, Year: 2015, Votes: 429565
- Title: The Hunger Games: Mockingjay - Part 2, Year: 2015, Votes: 179028
- Title: Jupiter Ascending, Year: 2015, Votes: 142878
- Title: 10 Cloverfield Lane, Year: 2016, Votes: 149415
- Title: Minions, Year: 2015, Votes: 148448
- Title: Ted 2, Year: 2015, Votes: 123758
- Title: Focus, Year: 2015, Votes: 155186
- Title: Spider-Man: Far from Home, Year: 2019, Votes: 269287
- Title: The Babadook, Year: 2014, Votes: 185189
- Title: Cinderella, Year: 2015, Votes: 107389
- Title: Spectre, Year: 2015, Votes: 287494
- Title: Ghostbusters, Year: 2016, Votes: 111399
- Title: Steve Jobs, Year: 2015, Votes: 102485
- Title: Batman v Superman: Dawn of Justice, Year: 2016, Votes: 415255
- Title: Inside Out, Year: 2015, Votes: 367848
- Title: Guardians of the Galaxy, Year: 2014, Votes: 704613
- Title: Whiplash, Year: 2014, Votes: 667323
- Title: The Revenant, Year: 2015, Votes: 441653
- Title: Guardians of the Galaxy Vol. 2, Year: 2017, Votes: 531435
- Title: 22 Jump Street, Year: 2014, Votes: 265037
- Title: Southpaw, Year: 2015, Votes: 154514
- Title: Transformers: Age of Extinction, Year: 2014, Votes: 246318
- Title: Suicide Squad, Year: 2016, Votes: 249658
- Title: Battle Los Angeles, Year: 2011, Votes: 169988
- Title: Kingsman: The Secret Service, Year: 2014, Votes: 410076
- Title: Terminator Genisys, Year: 2015, Votes: 194182
- Title: Zootopia, Year: 2016, Votes: 216939
- Title: Divergent, Year: 2014, Votes: 412364
- Title: Sin City: A Dame to Kill For, Year: 2014, Votes: 114899
- Title: Bridge of Spies, Year: 2015, Votes: 192125
- Title: Creed, Year: 2015, Votes: 157387
- Title: Furious Seven, Year: 2015, Votes: 284316
- Title: Black Mass, Year: 2015, Votes: 123475
